"Symbol","trade_date","close_price","volume","daily_return_pct","ma_7day","ma_30day"
"MSFT","2024-05-02","392.72","17709400","0.05","394.68","408.98"
"NVDA","2024-05-02","85.77","377898000","1.62","84.68","86.90"
"AAPL","2024-05-02","171.63","94214900","0.30","169.24","168.71"
"GOOGL","2024-05-02","165.37","24294500","1.11","162.56","155.14"
"AMZN","2024-05-02","184.72","54303500","2.14","178.51","180.83"
"META","2024-05-02","439.08","15221300","0.65","443.35","487.02"
"TSLA","2024-05-02","180.01","89148000","-1.56","176.85","168.63"
"TSLA","2024-05-01","179.99","92829700","-1.10","171.80","168.48"
"MSFT","2024-05-01","389.86","23562500","0.59","396.05","409.88"
"META","2024-05-01","436.61","20344900","2.47","451.08","489.14"
"GOOGL","2024-05-01","162.63","33493200","-0.27","161.37","154.55"
"NVDA","2024-05-01","83.00","559863000","-2.39","84.20","87.05"
"AAPL","2024-05-01","167.93","50383100","-0.17","168.38","168.90"
"AMZN","2024-05-01","179.00","94645100","-1.45","177.77","180.61"
"META","2024-04-30","427.64","18429500","-0.20","457.12","491.03"
"GOOGL","2024-04-30","161.56","33562900","-1.71","160.30","154.00"
"MSFT","2024-04-30","384.32","28781400","-3.03","396.90","410.75"
"AMZN","2024-04-30","175.00","94639800","-3.36","177.52","180.50"
"TSLA","2024-04-30","183.28","127031800","-1.98","166.38","168.19"
"NVDA","2024-04-30","86.36","363709000","-0.96","83.69","87.26"
"AAPL","2024-04-30","168.95","65934800","-1.73","167.89","169.12"
"TSLA","2024-04-29","194.05","243869700","2.99","161.20","167.88"
"AAPL","2024-04-29","172.10","68169400","0.07","167.13","169.23"
"GOOGL","2024-04-29","164.90","45610000","-1.72","159.06","153.50"
"NVDA","2024-04-29","87.71","388971000","0.18","82.24","87.33"
"META","2024-04-29","430.07","21502600","-1.58","464.35","493.24"
"AMZN","2024-04-29","180.96","54063900","-0.98","177.46","180.49"
"MSFT","2024-04-29","397.07","19582100","-0.74","398.28","411.67"
"META","2024-04-26","440.68","32691400","0.41","474.18","494.95"
"AAPL","2024-04-26","167.93","44838400","-0.34","166.21","169.20"
"MSFT","2024-04-26","401.09","29694700","-1.42","398.57","412.14"
"GOOGL","2024-04-26","170.66","64665300","-1.39","157.63","152.67"
"AMZN","2024-04-26","179.62","43919800","1.02","177.21","180.27"
"TSLA","2024-04-26","168.29","109815700","-0.33","154.90","166.86"
"NVDA","2024-04-26","87.69","551011000","4.67","81.80","87.33"
"AMZN","2024-04-25","173.67","49249400","2.35","177.45","180.24"
"NVDA","2024-04-25","82.59","424641000","4.77","81.27","87.34"
"META","2024-04-25","438.78","82890700","4.74","481.40","496.56"
"MSFT","2024-04-25","393.90","40586500","1.27","399.35","412.76"
"GOOGL","2024-04-25","154.83","57109700","3.09","155.29","151.72"
"TSLA","2024-04-25","170.18","126427500","7.06","153.07","166.67"
"AAPL","2024-04-25","168.52","50558300","0.21","166.03","169.33"
"META","2024-04-24","490.60","37772700","-2.87","489.69","498.35"
"NVDA","2024-04-24","79.64","512208000","-5.09","81.95","87.61"
"GOOGL","2024-04-24","157.94","22779100","1.04","155.06","151.18"
"MSFT","2024-04-24","403.80","15065300","-0.12","401.54","413.29"
"TSLA","2024-04-24","162.13","181178000","-0.44","151.20","166.64"
"AMZN","2024-04-24","176.59","34185100","-1.86","178.83","180.34"
"AAPL","2024-04-24","167.65","48251800","1.49","165.96","169.37"
"AMZN","2024-04-23","179.54","37046500","0.82","179.83","180.30"
"NVDA","2024-04-23","82.38","438559000","2.05","82.85","88.02"
"TSLA","2024-04-23","144.68","124545100","0.94","151.11","167.16"
"META","2024-04-23","493.18","15079200","0.99","490.65","498.56"
"AAPL","2024-04-23","165.55","49537800","0.94","166.48","169.51"
"MSFT","2024-04-23","402.33","15734500","0.82","402.18","413.49"
"GOOGL","2024-04-23","157.07","21151600","0.83","154.46","150.50"
"META","2024-04-22","478.90","17271100","-1.63","492.89","498.14"
"NVDA","2024-04-22","79.48","596341000","1.81","83.68","88.13"
"AMZN","2024-04-22","177.23","37924900","0.16","180.78","180.04"
"TSLA","2024-04-22","142.05","107097600","1.06","154.87","168.26"
"MSFT","2024-04-22","395.80","20286900","0.22","404.20","413.39"
"AAPL","2024-04-22","164.50","48116400","0.19","167.84","169.70"
"GOOGL","2024-04-22","155.11","26446200","1.28","154.38","149.82"
"NVDA","2024-04-19","76.16","875198000","-8.36","85.26","88.40"
"META","2024-04-19","478.24","25215400","-4.32","498.78","498.95"
"MSFT","2024-04-19","393.98","30565800","-1.22","408.01","413.57"
"AAPL","2024-04-19","163.66","68149400","-0.73","169.15","169.86"
"TSLA","2024-04-19","147.05","87074500","-1.29","159.52","169.37"
"AMZN","2024-04-19","174.63","56000700","-2.30","182.46","179.98"
"GOOGL","2024-04-19","152.93","32615600","-1.35","154.82","149.13"
"TSLA","2024-04-18","149.93","96098800","-0.87","163.05","170.42"
"META","2024-04-18","498.85","14808700","0.40","504.28","499.98"
"MSFT","2024-04-18","399.07","21029900","-1.55","411.41","413.90"
"AAPL","2024-04-18","165.69","43122900","-0.59","169.54","169.99"
"AMZN","2024-04-18","179.22","30723800","-1.24","184.08","180.05"
"NVDA","2024-04-18","84.63","447260000","-0.35","86.81","88.95"
"GOOGL","2024-04-18","154.84","19883000","0.43","155.12","148.47"
"TSLA","2024-04-17","155.45","82439700","-1.39","166.90","171.31"
"GOOGL","2024-04-17","154.30","21763100","-0.10","155.20","147.66"
"AAPL","2024-04-17","166.64","50901200","-0.95","169.91","170.06"
"AMZN","2024-04-17","181.28","31359700","-1.64","185.00","179.86"
"NVDA","2024-04-17","83.99","495400000","-4.87","86.90","89.08"
